iter	Passed	Remaining
0	57	57837
1	58	29011
2	58	19396
3	58	14586
4	58	11703
5	59	9778
6	59	8410
7	59	7384
8	59	6581
9	60	5940
10	60	5415
11	60	4977
12	60	4606
13	60	4289
14	61	4013
15	61	3771
16	61	3558
17	61	3369
18	61	3200
19	62	3048
20	62	2911
21	62	2786
22	62	2672
23	63	2568
24	63	2473
25	63	2383
26	63	2301
27	64	2223
28	64	2151
29	64	2084
30	64	2021
31	64	1962
32	65	1906
33	65	1854
34	65	1805
35	65	1759
36	65	1716
37	66	1674
38	66	1635
39	66	1597
40	66	1565
41	67	1535
42	67	1502
43	67	1471
44	67	1442
45	68	1413
46	68	1386
47	68	1360
48	68	1335
49	69	1311
50	69	1288
51	69	1265
52	69	1244
53	69	1223
54	70	1203
55	70	1184
56	70	1166
57	70	1148
58	70	1130
59	71	1113
60	71	1098
61	71	1082
62	71	1067
63	71	1052
64	72	1038
65	72	1024
66	72	1010
67	72	997
68	73	984
69	73	972
70	73	960
71	73	948
72	73	937
73	74	926
74	74	915
75	74	905
76	74	895
77	74	885
78	75	875
79	75	865
80	75	856
81	75	847
82	75	837
83	75	828
84	76	819
85	76	811
86	76	803
87	76	795
88	76	787
89	77	779
90	77	772
91	77	765
92	77	758
93	77	751
94	78	744
95	78	737
96	78	730
97	78	724
98	78	718
99	79	711
100	79	705
101	79	700
102	79	694
103	79	688
104	80	682
105	80	677
106	80	671
107	80	666
108	80	661
109	81	656
110	81	651
111	81	646
112	81	641
113	81	636
114	82	632
115	82	627
116	82	622
117	82	617
118	82	613
119	83	609
120	83	604
121	83	600
122	83	596
123	83	592
124	84	588
125	84	584
126	84	579
127	84	575
128	84	572
129	84	568
130	85	564
131	85	561
132	85	557
133	85	554
134	85	550
135	86	547
136	86	543
137	86	540
138	86	537
139	86	533
140	87	531
141	87	527
142	87	524
143	87	521
144	87	518
145	88	515
146	88	512
147	88	509
148	88	506
149	88	503
150	89	500
151	89	497
152	89	495
153	89	492
154	89	489
155	90	487
156	90	484
157	90	481
158	90	479
159	90	476
160	90	473
161	91	471
162	91	468
163	91	466
164	91	463
165	91	461
166	92	459
167	92	456
168	92	454
169	92	452
170	92	449
171	93	447
172	93	445
173	93	443
174	93	441
175	93	438
176	93	436
177	94	434
178	94	432
179	94	430
180	94	428
181	94	426
182	95	424
183	95	422
184	95	420
185	95	418
186	95	416
187	96	415
188	96	413
189	96	411
190	96	409
191	96	407
192	97	405
193	97	404
194	97	402
195	97	400
196	97	398
197	98	397
